Number,Dn,Ur,Keyword,Kd,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,Total Images,Image Tags,Content-length,META-Title,META-Description,Creation Date
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen,bouwmaterialen,82.48,4.0,31.0,1426.0,10.0,43.0,77.0,6884.0,23,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Bouwmaat.nl', 'None', 'ideal-logo', 'visa', 'v-pay', 'mastercard', 'Paypal-Logo']",753,"Bouwmaterialen kopen: Online of in de vestiging - Bouwmaat
",Bouwmaterialen kopen ✓ Online of in de vestiging ✓ Beste kwaliteit ✓ MEER=MINDER inkoopvoordeel ✓ Bezorgen op de klus ✓ Groot aanbod.,None
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,bouwmaterialen,82.48,10.0,17.0,217.0,7.0,42.0,79.0,633.0,21,"['Hornbach logo', 'Assortiment Binnenafbouw', 'Assortiment Isolatie', 'Assortiment Dakbedekking', 'Assortiment Ruwbouw', 'Assortiment Impregneren en repareren', 'Assortiment Gevelbekleding', '{{article.imageAlt}}', 'rating', 'None', 'Laagste prijsgarantie | HORNBACH ', 'Garantie bedenktijd ', 'Beste Bouwmarkt en Beste Webshop bouwmarkten! 2020 2021 ', 'Keurmerk thuiswinkel ', 'Keurmerk trustedshops ', 'apps appstore ', 'app playstore ', 'facebook ', 'instagram ', 'youtube ', 'twitter ']",367,Bouwmaterialen kopen? .HORNBACH. Laagste prijs,Bekijk ons assortiment Bouwmateriaal  in onze Onlineshop . Eenvoudig online bestellen . Thuisbezorgd . Laagste prijsgarantie . 30 dagen Bedenktijd. Alle Bouwmateriaal  online!,None
2,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html,bouwmaterialen,82.48,2.0,7.0,2595.0,14.0,128.0,19.0,12.0,57,"['Uniebouw', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Veilig Betalen', 'Webshop Keurmerk', 'Webshop Keurmerk', 'Webshop Keurmerk', 'Webshop Keurmerk']",252,Bouwmaterialen Online - Bouwbestel - Bouwmateriaal Online Kopen,"Op zoek naar bouwmaterialen? Bij Bouwbestel bent u aan het ✅ juiste adres voor o.a. bouwmaterialen, bouwmaterialen online, bouwmaterialen kopen.",None
3,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/,bouwmaterialen,82.48,3.0,31.0,138.0,10.0,2.0,2.0,36.0,52,"['Online Bouwmaterialen, bestel bouwmaterialen online, beste kwaliteit bouwmaterialen, snel geleverd. Bouwmaterialen Online bestellen!', 'Hout & Plaatmateriaal kopen', 'Stenen kopen', 'Grind & Zand kopen', 'VBI Vloer kopen', 'Isolatiemateriaal kopen', 'Cement & Beton kopen', 'Bouwstaal kopen', 'Gipsplaten kopen', 'Stucadoorsmaterialen kopen', 'Tegels en lijmen kopen', 'Lateien kopen', 'Dakramen & Solatubes kopen', 'Dakmaterialen kopen', 'Kozijnen & Deuren kopen', 'Bouwfolies kopen', 'Verf, Pur, Lijm & Kit kopen', 'Bevestiging kopen', 'Gereedschap & Installatie kopen', 'Gevel kopen', 'Tuin kopen', 'Afvalcontainers kopen', 'Kleding & PBM kopen', 'Hectar vloer kopen', 'Brandwerende materialen kopen', 'Hout & Plaatmateriaal kopen', 'Stenen kopen', 'Grind & Zand kopen', 'VBI Vloer kopen', 'Isolatiemateriaal kopen', 'Cement & Beton kopen', 'Bouwstaal kopen', 'Gipsplaten kopen', 'Stucadoorsmaterialen kopen', 'Tegels en lijmen kopen', 'Lateien kopen', 'Dakramen & Solatubes kopen', 'Dakmaterialen kopen', 'Kozijnen & Deuren kopen', 'Bouwfolies kopen', 'Verf, Pur, Lijm & Kit kopen', 'Bevestiging kopen', 'Gereedschap & Installatie kopen', 'Gevel kopen', 'Tuin kopen', 'Afvalcontainers kopen', 'Kleding & PBM kopen', 'Hectar vloer kopen', 'Brandwerende materialen kopen', 'Bekijk de reviews van Online Bouwmaterialen', 'Online Bouwmaterialen heeft het WebwinkelKeur Keurmerk', 'Veilig betalen bij Online Bouwmaterialen']",1782,Bouwmaterialen Online kopen? | Online Bouwmaterialen,Bij Online Bouwmaterialen koopt u de beste kwaliteit bouwmaterialen ✅ Scherp geprijsd ✅ Snel geleverd ✅ Professioneel advies ✅ Ruim assortiment ✅,None
4,bmn.nl,https://www.bmn.nl/,bouwmaterialen,82.48,3.0,12.0,563.0,5.0,150.0,178.0,12.0,46,"['BMN Bouwmaterialen', 'BMN Bouwmaterialen', 'Logo Mosa', 'Logo Procasa', 'Logo Floorgres', 'Logo Sphinx', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Containerservice', 'Vestigingen BMN', 'Inloggen / registreren', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'Vacatures bij BMN', 'None']",175,BMN Bouwmaterialen groothandel - BMN Bouwmaterialen,"BMN (Bouwmaterialen Nederland) is de bouwmaterialen groothandel en leverancier met de beste service, de juiste voorraad, flexibele logistiek, vakkundig personeel en uitgebreide webshop.",None
5,bouwonline.com,https://www.bouwonline.com/,bouwmaterialen,82.48,7.0,7.0,1029.0,3.0,42.0,79.0,7.0,37,"['BouwOnline.com', 'BouwOnline.com', 'None', 'Empty cart', 'Werkbladen', 'Combinatievloeren', 'Okoume multiplex deurplaat 40 mm blank (overige maten)', 'Populieren gegrond 18 mm 250 x 122cm', 'Wapeningskorf prefab open & gesloten kop 10 mm (betonmaat 350 x 500 x 3000mm)', 'OSB 3 18 mm 244 x 122cm - mes & groef langszijden', 'Medite® MDF vochtwerend 18 mm 244 x 122cm', 'Medite® Tricoya® MDF 18 mm 244 x 122cm', 'Reginox spoelbak Ohio Midnight Sky 50x40 R25970', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'Placeholder', 'Medite® Tricoya® MDF 18 mm 244 x 122cm', 'Reginox spoelbak Ohio Midnight Sky 50x40 R25970', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'None', 'Placeholder', 'Medite® Tricoya® MDF 18 mm 244 x 122cm', 'Reginox spoelbak Ohio Midnight Sky 50x40 R25970', 'Agnes® wandplaten wit stuc 2600 x 600 x 12 mm (2 stuks)', 'Gevelbekleding', 'Deuren & Kozijnen', 'Afvalcontainers', 'Dakmaterialen', 'Houten Werkbladen', 'Bouwfolies', 'Combinatievloeren', 'BouwOnline.com', 'ideal', 'mistercash', 'banktransfer', 'directebanking']",1651,Bouwmaterialen online voor klussers en bouwers - BouwOnline.com,"Dé grootste online bouwmaterialen shop voor hout, gevelbekleding, afvalcontainers en alle grote merken. Vandaag besteld is morgen in huis. ",None
6,bouwmaterialenkopen.com,https://www.bouwmaterialenkopen.com/,bouwmaterialen,82.48,8.0,3.0,138.0,9.0,32.0,294.0,130.0,58,"['None', 'logo', 'help nodig', 'Laagste prijsgarantie', 'Kiyoh Rating', 'Thuiswinkel Waarborg', 'Thuiswinkel Waarborg', 'Thuiswinkel Waarborg', 'Thuiswinkel Waarborg', 'Thuiswinkel Waarborg', 'Betonblokken', 'Betonblokken', 'Betonblokken', 'Betonblokken', 'Betonblokken', 'Betonblokken', 'Betonblokken', 'Kalkzandsteen', 'Kalkzandsteen', 'Kalkzandsteen', 'Kalkzandsteen', 'Kalkzandsteen', 'Kalkzandsteen', 'Kalkzandsteen', 'Metselstenen', 'Metselstenen', 'Metselstenen', 'Metselstenen', 'Metselstenen', 'Metselstenen', 'Hout/Plaat', 'AfterPay NL B2B Digital Invoice', 'iDEAL', 'MasterCard', 'Visa', 'Bank transfer', 'Bancontact', 'Thuiswinkel Waarborg', 'Zwembad Bouwen', 'Garage Bouwen', 'Binnenmuur Maken', 'Buitenmuur Maken', 'Tuinmuur Maken', 'Ga voor de beste prijs-kwaliteit verhouding en kies voor betonblokken uit de acties en partij aanbiedingen.', 'Alle acties en aanbiedingen zijn tijdelijk. Dat betekent dat wij van deze metselstenen alleen beperkte partijen hebben (op is op) of dat wij alleen een tijdelijke korting kunnen bieden.', 'Ga voor de beste prijs-kwaliteit verhouding en kies voor kalkzandsteen uit acties en partij aanbiedingen.', 'Gasbetonblokken, oftewel cellenbetonblokken, vindt u hier in allerlei afmetingen. Ze zijn licht, krachtig, veilig en eenvoudig te verwerken. ', 'Betonblokken 30x10x20cm (2e keus)', 'Kalkzandsteen lijmblok 43,7x10x19,8cm', 'Waalformaat Massief Vuilwerk metselstenen', 'Betonblokken 29x20x19cm', 'Cellenbetonblokken 60x10x40cm', 'Kalkzandsteen metselsteen Maasformaat 21,4x10,2x8,2cm', 'Kalkzandsteen metselsteen Maasformaat 21,4x10,2x8,2cm', 'Laagste prijsgarantie', 'Kiyoh Rating', 'Thuiswinkel Waarborg', 'logo']",445,Brok Bouwmaterialen | Voor al uw bouwmaterialen | Sinds 1944 - Brok Bouwmaterialen,De Goedkoopste Bouwmaterialen Koop Je Online! ✅ De Laagste Prijsgarantie! ✅ Binnen 7 werkdagen geleverd ✅ Achteraf betalen ✅ Thuiswinkel Waarborg ✅ Brok Bouwmaterialen,None
7,pontmeyer.nl,https://www.pontmeyer.nl/,bouwmaterialen,82.48,4.0,1.0,613.0,5.0,53.0,23.0,30.0,28,"['PontMeyer', 'PontMeyer', 'PONT2105_Webads_Bouwkrant_mei_320x300px_DEF9.jpg', 'Duraprime.png', 'Duraprime 90mu wit gegrond', 'Multimaster.png', 'Fein multimaster MM700', 'inkoopkaart-pontmeyer.png', 'vuren c geschaafd 50x75x3600', 'underlayment 18mm topfloor vuren tong en groef 2440x1220x18', 'duraprime 90mu wit gegrond 15 jaar garantie 2500x1220x18', 'None', 'elektrische vloer en wandverwarming set met wifi  4,8m2', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'icon next day delivery', 'icon location', 'icon drive in', 'icon free delivery', 'AlexanderOnzeAmbassadeurs (3).png', 'Registreer uw PontBonus kaart', 'Ideal']",430,PontMeyer | Beter bouwen met - PontMeyer ,Iedereen bouwt beter met Pontmeyer dankzij uitgebreid assortiment en professioneel advies,None
8,huisman.nl,https://www.huisman.nl/bouwmaterialen/,bouwmaterialen,82.48,1.0,7.0,440.0,5.0,0.0,0.0,6.0,7,"['Huisman.nl', 'None', 'None', 'None', 'None', 'None', 'Betaalmethodes']",150,NaN,NaN,None
9,bol.com,https://www.bol.com/nl/m/bouwmaterialen/,bouwmaterialen,82.48,0.0,0.0,0.0,0.0,13.0,117.0,27150.0,0,[],1832,NaN,NaN,None
10,sleiderink.nl,https://www.sleiderink.nl/bouwmaterialen,bouwmaterialen,82.48,6.0,47.0,369.0,3.0,43.0,49.0,2.0,14,"['Sleiderink logo', 'Sakrete Betonmortel', 'Sakrete Metselmortel met kalk', 'Sakrete Metselmortel zonder kalk', 'Sakrete Zandcement Mortel', 'Sakrete Snelbetonmortel (snelbeton)', 'Sakrete Blokkenlijm Zomer', 'Sakrete Egalisatiemortel EM30', 'Knauf Rotband', 'Knauf MP 75 Engis', 'Knauf Fix & Finish', 'Faay Spaanplaat Veer 1000 mm', 'Faay Stellat', 'Bouwmaterialen']",666,Bouwmaterialen | Sleiderink.nl | Altijd Scherp!,"Zoek je Bouwmaterialen? Goed Advies, Scherpe Prijzen en Snelle Levering! Sleiderink is de nummer 1 in (online) Bouwmaterialen. Bestel nu in de Webshop!",None
11,houtenbouwmaterialen.nl,https://www.houtenbouwmaterialen.nl/bouwmaterialen,bouwmaterialen,82.48,6.0,7.0,298.0,13.0,12.0,89.0,2.0,0,NaN,597,Bouwmaterialen online bestellen | Houtenbouwmaterialen.nl  | Hout en Bouwmaterialen,NaN,None
12,debouwmarktshop.nl,https://www.debouwmarktshop.nl/,bouwmaterialen,82.48,3.0,9.0,348.0,16.0,42.0,79.0,3.0,0,NaN,504,NaN,NaN,None
13,stmiddelkoop.nl,https://www.stmiddelkoop.nl/bouwmaterialen/,bouwmaterialen,82.48,3.0,14.0,783.0,16.0,67.0,56.0,343.0,0,NaN,347,St. Middelkoop - Bouwmaterialen en bouwproducten,Bouwmaterialen hebben we ruimschoots op voorraad. Bouwen begint bij Middelkoop. En het beste bouwadvies gaat gepaard met de beste producten voor jouw klus!,None
14,karwei.nl,https://www.karwei.nl/assortiment/k/bouwmaterialen,bouwmaterialen,82.48,5.0,52.0,88.0,10.0,43.0,71.0,10096.0,9,"['None', 'None', 'footer KARWEI', 'None', 'Logo Thuiswinkel waarborg', 'None', 'None', 'None', 'None']",359,KARWEI | Bouwmaterialen kopen?,"Wil je bouwmaterialen kopen om je tuin te verbouwen, je huis te isoleren of je muren te stucen? Vind alle benodigde bouwmaterialen online bij KARWEI!",None
15,raabkarcher.nl,https://www.raabkarcher.nl/bouwmaterialen,bouwmaterialen,82.48,3.0,15.0,24.0,6.0,59.0,59.0,875.0,1,['Raab Karcher | Hoeksteen van de bouw'],169,Bouwmaterialen van Raab Karcher,"Bouwmaterialen van Raab Karcher | 60.000 bouwmaterialen in ons assortiment | 37 vestigingen door heel Nederland of voor 15.00u besteld, morgen bezorgd",None
16,gamma.nl,https://www.gamma.nl/assortiment/k/bouwmaterialen,bouwmaterialen,82.48,5.0,38.0,70.0,10.0,43.0,71.0,747.0,9,"['None', 'None', 'footer GAMMA', 'Logo Thuiswinkel waarborg', 'facebook', 'instagram', 'Pinterest', 'twitter', 'Youtube']",497,GAMMA | Bouwmaterialen kopen? Van dakgoten tot gipsplaten,Bouwmaterialen nodig? Bij GAMMA vindt u alles wat u nodig heeft voor uw (ver)bouwklus. Bekijk het assortiment in de bouwmarkt of online.,None
17,bouwmaterialen-nederland.nl,http://www.bouwmaterialen-nederland.nl/,bouwmaterialen,82.48,6.0,11.0,64.0,1.0,24.0,2.0,3.0,13,"['actie', 'contact bouwmaterialen nederland', 'None', 'None', 'None', 'None', 'leverdagen bouwmaterialen nederland', 'None', 'None', 'None', 'None', 'None', 'None']",693,"Bouwmaterialen Nederland | bouwmaterialen, keralit, keraliet tegen een scherpe bouwmaterialen prijzen!","Bouwmaterialen tegen scherpe bouwmaterialen prijzen! Webshop bouwmaterialen-nederland.nl koopt direct in bij de fabriek, uw en ons voordeel! Kijk op de webshop voor al onze artikelen!",None
18,verdouw.nu,https://www.verdouw.nu/,bouwmaterialen,82.48,1.0,10.0,158.0,6.0,27.0,218.0,3.0,9,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",62,Bouwmaterialen - Morgen brengen | Totaalleverancier voor de bouw,,None
19,wikipedia.org,https://nl.wikipedia.org/wiki/Bouwmateriaal,bouwmaterialen,82.48,6.0,20.0,162.0,70.0,138.0,105.0,15216714.0,0,NaN,1381,Bouwmateriaal - Wikipedia,,None
