,0
0,76
1,75
2,74
3,76
4,66
5,73
6,74
7,74
8,85
9,75
10,12
11,41
12,53
13,8
14,68
15,24
16,59
17,35
18,68
19,74
20,64
21,72
22,63
23,49
24,75
25,61
26,61
27,43
28,61
29,51
30,76
31,23
32,68
33,78
34,65
35,95
36,63
37,62
38,63
39,64
40,66
41,64
42,63
43,61
44,69
45,47
46,44
47,67
48,38
49,64
50,57
51,59
52,62
53,68
54,64
55,62
56,63
57,38
58,72
59,70
60,38
61,79
62,66
63,61
64,52
65,68
66,66
67,63
68,38
69,67
70,64
71,38
72,68
73,54
74,60
75,64
76,46
77,48
78,49
79,51
80,62
81,41
82,58
83,58
84,38
85,47
86,43
87,71
88,54
89,50
90,46
91,63
92,55
93,43
94,64
95,78
96,63
97,48
98,59
