,0
0,15861274
1,40566855
2,2364951
3,1814201
4,6371169
5,2179890
6,1441851
7,1441851
8,23947464
9,1761047
10,48246
11,133882242
12,36623
13,36287
14,153021
15,3579
16,1419840
17,1132
18,3225435
19,2527341
20,203333
21,474503
22,314605
23,416943
24,1276505
25,134456
26,225173
27,228314
28,212971
29,89997
30,2572809
31,695722
32,209265
33,2306589
34,84788
35,1246032522
36,17943891
37,30623
38,1232959
39,3763685
40,3596492
41,15382139
42,1888281
43,500866
44,228960
45,67775
46,1056535
47,1400500
48,30202
49,210462
50,46197
51,3231213
52,121139
53,4124294
54,1763454
55,5359946
56,279404
57,164958
58,1033677
59,267846
60,23367
61,150953748
62,35296
63,651867
64,5953
65,307199
66,1625589
67,817912
68,53230
69,1299200
70,22172
71,8267
72,1016741
73,51310
74,757408
75,3119319
76,6634
77,122374
78,67062
79,41635
80,30760
81,2078
82,799987
83,49664
84,2901
85,2327700
86,1669
87,228005
88,67778
89,105468
90,8224
91,474432
92,397155
93,2335
94,820612
95,14794384
96,418545
97,331474
98,442155
