,0
0,27
1,2
2,8
3,42
4,20
5,6
6,13
7,13
8,1
9,13
10,47
11,21
12,27
13,38
14,24
15,38
16,44
17,68
18,17
19,38
20,53
21,45
22,21
23,66
24,10
25,42
26,19
27,15
28,57
29,20
30,27
31,8
32,43
33,61
34,44
35,61
36,18
37,42
38,8
39,81
40,60
41,27
42,39
43,15
44,43
45,53
46,68
47,68
48,19
49,3
50,53
51,13
52,34
53,1
54,48
55,18
56,26
57,13
58,36
59,74
60,18
61,69
62,22
63,8
64,64
65,42
66,17
67,74
68,34
69,63
70,14
71,21
72,64
73,41
74,22
75,8
76,64
77,31
78,28
79,23
80,14
81,64
82,42
83,34
84,64
85,0
86,51
87,30
88,53
89,74
90,33
91,53
92,20
93,42
94,74
95,13
96,12
97,30
98,17
