,0
0,38.0
1,702.0
2,
3,185.0
4,9095.0
5,20.0
6,449.0
7,
8,143.0
9,449.0
10,152.0
11,
12,90.0
13,479.0
14,
15,0.0
16,
17,
18,5.0
19,107.0
20,130.0
21,9.0
22,26.0
23,192.0
24,449.0
25,10.0
26,14.0
27,16.0
28,101.0
29,47.0
30,25.0
31,488.0
32,6.0
33,11.0
34,84.0
35,45.0
36,6.0
37,188.0
38,60.0
39,11.0
40,32.0
41,449.0
42,38.0
43,15.0
44,
45,67.0
46,11.0
47,12.0
48,
49,17.0
50,105.0
51,0.0
52,117.0
53,64.0
54,113.0
55,9988.0
56,17.0
57,
58,449.0
59,92.0
60,17.0
61,3.0
62,91.0
63,16.0
64,8.0
65,449.0
66,17.0
67,172.0
68,16.0
69,448.0
70,104.0
71,5.0
72,88.0
73,7.0
74,13.0
75,172.0
76,13.0
77,112.0
78,4.0
79,7.0
80,
81,14.0
82,330.0
83,2.0
84,82.0
85,17.0
86,19.0
87,2692.0
88,203.0
89,90.0
90,24.0
91,57.0
92,171.0
93,363.0
94,172.0
95,
96,
97,401.0
98,20.0
