,0
0,7.0
1,4470.0
2,43.0
3,18.0
4,11.0
5,67.0
6,26.0
7,
8,12.0
9,26.0
10,43.0
11,
12,13.0
13,42.0
14,52.0
15,0.0
16,14.0
17,
18,53.0
19,34.0
20,13.0
21,17.0
22,67.0
23,92.0
24,26.0
25,24.0
26,23.0
27,125.0
28,50.0
29,66.0
30,943.0
31,23.0
32,4.0
33,6.0
34,54.0
35,920.0
36,42.0
37,2.0
38,90.0
39,50.0
40,66.0
41,26.0
42,15.0
43,125.0
44,
45,156.0
46,258.0
47,178.0
48,
49,52.0
50,13.0
51,0.0
52,37.0
53,319.0
54,15.0
55,12.0
56,52.0
57,
58,26.0
59,14.0
60,256.0
61,179.0
62,13.0
63,107.0
64,46.0
65,26.0
66,52.0
67,169.0
68,112.0
69,25.0
70,13.0
71,21.0
72,0.0
73,84.0
74,18.0
75,169.0
76,84.0
77,46.0
78,15.0
79,83.0
80,
81,223.0
82,786.0
83,50.0
84,43.0
85,89.0
86,121.0
87,10.0
88,2.0
89,13.0
90,33.0
91,120.0
92,43.0
93,777.0
94,169.0
95,
96,
97,123.0
98,234.0
