,0
0,91.0
1,92.0
2,88.0
3,89.0
4,84.0
5,93.0
6,89.0
7,89.0
8,96.0
9,90.0
10,68.0
11,92.0
12,
13,
14,84.0
15,71.0
16,90.0
17,66.0
18,89.0
19,90.0
20,84.0
21,91.0
22,84.0
23,75.0
24,92.0
25,84.0
26,84.0
27,75.0
28,92.0
29,82.0
30,91.0
31,88.0
32,88.0
33,
34,
35,100.0
36,87.0
37,82.0
38,88.0
39,84.0
40,87.0
41,88.0
42,84.0
43,86.0
44,84.0
45,84.0
46,83.0
47,90.0
48,87.0
49,87.0
50,88.0
51,89.0
52,81.0
53,85.0
54,94.0
55,87.0
56,87.0
57,79.0
58,88.0
59,91.0
60,86.0
61,100.0
62,85.0
63,84.0
64,84.0
65,88.0
66,87.0
67,87.0
68,76.0
69,86.0
70,86.0
71,69.0
72,88.0
73,86.0
74,84.0
75,87.0
76,79.0
77,76.0
78,86.0
79,81.0
80,88.0
81,71.0
82,80.0
83,76.0
84,51.0
85,85.0
86,76.0
87,88.0
88,84.0
89,78.0
90,77.0
91,88.0
92,90.0
93,70.0
94,87.0
95,98.0
96,84.0
97,81.0
98,85.0
