,0
0,50.0
1,58.0
2,41.0
3,24.0
4,39.0
5,4.0
6,45.0
7,44.0
8,76.0
9,21.0
10,27.0
11,75.0
12,21.0
13,54.0
14,38.0
15,30.0
16,30.0
17,38.0
18,19.0
19,39.0
20,23.0
21,33.0
22,11.0
23,98.0
24,
25,24.0
26,40.0
27,8.0
28,21.0
29,33.0
30,39.0
31,19.0
32,
33,
34,49.0
35,
36,38.0
37,20.0
38,
39,27.0
40,
41,
42,22.0
43,13.0
44,27.0
45,25.0
46,20.0
47,56.0
48,25.0
49,
50,73.0
51,72.0
52,
53,75.0
54,22.0
55,46.0
56,19.0
57,
58,
59,
60,
61,17.0
62,40.0
63,27.0
64,21.0
65,59.0
66,23.0
67,24.0
68,51.0
69,18.0
70,64.0
71,
72,
73,
74,
75,17.0
76,
77,23.0
78,38.0
79,31.0
80,20.0
81,
82,22.0
83,
84,40.0
85,100.0
86,22.0
87,15.0
88,15.0
89,24.0
90,20.0
91,62.0
92,
93,
94,
95,
96,38.0
97,54.0
98,25.0
