,0
0,38.0
1,78.0
2,38.0
3,44.0
4,23.0
5,44.0
6,17.0
7,38.0
8,42.0
9,38.0
10,17.0
11,48.0
12,17.0
13,30.0
14,24.0
15,38.0
16,38.0
17,22.0
18,41.0
19,
20,22.0
21,22.0
22,11.0
23,69.0
24,41.0
25,22.0
26,38.0
27,64.0
28,32.0
29,74.0
30,2.0
31,31.0
32,38.0
33,38.0
34,57.0
35,18.0
36,32.0
37,38.0
38,12.0
39,17.0
40,38.0
41,
42,31.0
43,40.0
44,45.0
45,16.0
46,38.0
47,38.0
48,44.0
49,38.0
50,16.0
51,22.0
52,30.0
53,2.0
54,17.0
55,74.0
56,21.0
57,
58,13.0
59,38.0
60,41.0
61,13.0
62,33.0
63,40.0
64,38.0
65,25.0
66,64.0
67,17.0
68,51.0
69,4.0
70,48.0
71,57.0
72,38.0
73,13.0
74,38.0
75,13.0
76,56.0
77,1.0
78,62.0
79,38.0
80,22.0
81,40.0
82,58.0
83,7.0
84,17.0
85,67.0
86,18.0
87,57.0
88,18.0
89,74.0
90,45.0
91,14.0
92,32.0
93,74.0
94,2.0
95,13.0
96,8.0
97,36.0
98,8.0
