,0
0,77.0
1,79.0
2,19.0
3,2.0
4,178.0
5,79.0
6,0.0
7,23.0
8,
9,294.0
10,49.0
11,117.0
12,71.0
13,71.0
14,218.0
15,89.0
16,424.0
17,56.0
18,71.0
19,59.0
20,79.0
21,77.0
22,4.0
23,105.0
24,2.0
25,95.0
26,
27,
28,
29,99.0
30,107.0
31,
32,
33,
34,1.0
35,95.0
36,0.0
37,
38,
39,3.0
40,109.0
41,3.0
42,79.0
43,40.0
44,
45,44.0
46,196.0
47,25.0
48,
49,18.0
50,10.0
51,100.0
52,87.0
53,
54,0.0
55,30.0
56,116.0
57,
58,
59,0.0
60,
61,
62,
63,100.0
64,3.0
65,96.0
66,562.0
67,
68,9.0
69,84.0
70,28.0
71,
72,103.0
73,0.0
74,124.0
75,114.0
76,3.0
77,0.0
78,79.0
79,79.0
80,84.0
81,186.0
82,79.0
83,23.0
84,172.0
85,
86,163.0
87,9.0
88,562.0
89,165.0
90,8.0
91,116.0
92,
93,3.0
94,5752.0
95,103.0
96,100.0
97,14.0
98,8.0
