,0
0,43.0
1,42.0
2,128.0
3,2.0
4,150.0
5,42.0
6,0.0
7,53.0
8,
9,32.0
10,43.0
11,13.0
12,43.0
13,43.0
14,27.0
15,12.0
16,37.0
17,67.0
18,43.0
19,59.0
20,42.0
21,117.0
22,30.0
23,138.0
24,24.0
25,13.0
26,
27,
28,
29,14.0
30,84.0
31,
32,
33,
34,13.0
35,43.0
36,0.0
37,
38,
39,17.0
40,43.0
41,19.0
42,
43,771.0
44,
45,110.0
46,11.0
47,90.0
48,
49,21.0
50,146.0
51,13.0
52,196.0
53,
54,0.0
55,55.0
56,43.0
57,
58,
59,0.0
60,
61,
62,
63,43.0
64,17.0
65,14.0
66,170.0
67,
68,149.0
69,43.0
70,12.0
71,
72,13.0
73,0.0
74,14.0
75,14.0
76,100.0
77,0.0
78,42.0
79,42.0
80,43.0
81,375.0
82,42.0
83,16.0
84,43.0
85,
86,43.0
87,22.0
88,170.0
89,43.0
90,153.0
91,14.0
92,
93,11.0
94,194.0
95,
96,13.0
97,266.0
98,40.0
