,0
0,76.0
1,79.0
2,64.0
3,69.0
4,85.0
5,45.0
6,81.0
7,76.0
8,89.0
9,64.0
10,58.0
11,92.0
12,83.0
13,81.0
14,71.0
15,74.0
16,74.0
17,77.0
18,86.0
19,85.0
20,67.0
21,73.0
22,62.0
23,100.0
24,43.0
25,68.0
26,77.0
27,32.0
28,58.0
29,75.0
30,76.0
31,64.0
32,30.0
33,33.0
34,69.0
35,60.0
36,72.0
37,66.0
38,44.0
39,68.0
40,43.0
41,15.0
42,57.0
43,51.0
44,76.0
45,68.0
46,62.0
47,90.0
48,68.0
49,61.0
50,89.0
51,92.0
52,44.0
53,92.0
54,61.0
55,49.0
56,49.0
57,
58,49.0
59,20.0
60,8.0
61,55.0
62,85.0
63,49.0
64,67.0
65,86.0
66,49.0
67,49.0
68,88.0
69,62.0
70,94.0
71,48.0
72,49.0
73,52.0
74,25.0
75,28.0
76,87.0
77,68.0
78,75.0
79,48.0
80,52.0
81,33.0
82,82.0
83,54.0
84,53.0
85,100.0
86,51.0
87,33.0
88,49.0
89,53.0
90,84.0
91,88.0
92,29.0
93,7.0
94,32.0
95,33.0
96,48.0
97,76.0
98,49.0
