,0,1
0,nu.nl,https://www.nu.nl/algemeen
1,nos.nl,https://nos.nl/nieuws
2,telegraaf.nl,https://www.telegraaf.nl/nieuws
3,ad.nl,https://www.ad.nl/nieuws/
4,nieuws.nl,https://nieuws.nl/
5,volkskrant.nl,https://www.volkskrant.nl/nieuws
6,rtlnieuws.nl,https://www.rtlnieuws.nl/
7,rtlnieuws.nl,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5232008/aanhouding-opgepakt-amsterdam
8,google.nl,https://news.google.nl/
9,nrc.nl,https://www.nrc.nl/
10,kadaza.nl,https://www.kadaza.nl/nieuws
11,voetbalprimeur.nl,https://www.voetbalprimeur.nl/nieuws/981045/opvallend-nieuws-van-borst-pittig-interview-komt-g-z-b-y-k-mogelijk-duur-te-staan.html
12,az.nl,https://www.az.nl/nl/nieuws
13,emmercourant.nl,https://emmercourant.nl/nieuws
14,omroepgelderland.nl,https://www.omroepgelderland.nl/
15,sublime.nl,https://sublime.nl/category/nieuws-van-de-vooruitgang/
16,politie.nl,https://www.politie.nl/nieuws
17,songfestival.nl,https://songfestival.nl/nieuws
18,weeronline.nl,https://www.weeronline.nl/nieuws
19,uu.nl,https://www.uu.nl/organisatie/actueel/nieuws
20,hartvannederland.nl,https://www.hartvannederland.nl/nieuws/
21,hln.be,https://www.hln.be/nieuws/
22,omroepflevoland.nl,https://www.omroepflevoland.nl/nieuws
23,knwu.nl,https://www.knwu.nl/nieuws
24,trouw.nl,https://www.trouw.nl/
25,rtvdrenthe.nl,https://www.rtvdrenthe.nl/nieuws
26,iknl.nl,https://iknl.nl/nieuws
27,weert.nl,https://www.weert.nl/nieuws
28,vi.nl,https://www.vi.nl/nieuws
29,accountant.nl,https://www.accountant.nl/nieuws/
30,rijksoverheid.nl,https://www.rijksoverheid.nl/actueel
31,at5.nl,https://www.at5.nl/
32,ns.nl,https://nieuws.ns.nl/
33,rivm.nl,https://www.rivm.nl/nieuws
34,rtvnoord.nl,https://www.rtvnoord.nl/
35,google.com,https://news.google.com/topstories?hl=nl&gl=NL&ceid=NL%3Anl
36,destentor.nl,https://www.destentor.nl/
37,quotenet.nl,https://www.quotenet.nl/nieuws/
38,nhnieuws.nl,https://www.nhnieuws.nl/
39,rtvoost.nl,https://www.rtvoost.nl/nieuws
40,1limburg.nl,https://www.1limburg.nl/nieuws
41,gelderlander.nl,https://www.gelderlander.nl/
42,rijnmond.nl,https://www.rijnmond.nl/nieuws
