,0,1
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html
2,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html
3,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/
4,bmn.nl,https://www.bmn.nl/
5,bouwonline.com,https://www.bouwonline.com/
6,bol.com,https://www.bol.com/nl/m/bouwmaterialen/
7,pontmeyer.nl,https://www.pontmeyer.nl/
8,bouwmaterialenkopen.com,https://www.bouwmaterialenkopen.com/
9,debouwmarktshop.nl,https://www.debouwmarktshop.nl/
10,huisman.nl,https://www.huisman.nl/bouwmaterialen/
11,sleiderink.nl,https://www.sleiderink.nl/bouwmaterialen
12,houtenbouwmaterialen.nl,https://www.houtenbouwmaterialen.nl/bouwmaterialen
13,raabkarcher.nl,https://www.raabkarcher.nl/bouwmaterialen
14,karwei.nl,https://www.karwei.nl/assortiment/k/bouwmaterialen
15,stmiddelkoop.nl,https://www.stmiddelkoop.nl/bouwmaterialen/
16,gamma.nl,https://www.gamma.nl/assortiment/k/bouwmaterialen
17,verdouw.nu,https://www.verdouw.nu/
18,bouwpartner.com,https://www.bouwpartner.com/
19,wikipedia.org,https://nl.wikipedia.org/wiki/Bouwmateriaal
20,bakkerdehouthandel.nl,https://www.bakkerdehouthandel.nl/blog/bouwmaterialen/
21,bouwmaterialen-nederland.nl,http://www.bouwmaterialen-nederland.nl/
22,makroshop.be,https://www.makroshop.be/nl/bouwen-en-gereedschappen/bouwmaterialen
23,praxis.nl,https://www.praxis.nl/bouwmaterialen/b1/
24,oke-bouwmaterialen.nl,https://www.oke-bouwmaterialen.nl/
25,joostdevree.nl,https://www.joostdevree.nl/shtmls/bouwmaterialen.shtml
26,hout-en-bouwmaterialen.nl,http://www.hout-en-bouwmaterialen.nl/
27,limtrade.nl,https://www.limtrade.nl/af-bouw/bouwmaterialen
28,bouwcenter.nl,https://www.bouwcenter.nl/driessen/bouwmaterialen/
29,gebruiktebouwmaterialen.com,https://gebruiktebouwmaterialen.com/
30,nelemans.nl,https://www.nelemans.nl/bouwcenter/bouwmaterialen/
31,bouwhof.nl,https://www.bouwhof.nl/bouw/bouwmaterialen/
32,houthandelonline.nl,https://www.houthandelonline.nl/bouwmaterialen
33,wienerberger.nl,https://www.wienerberger.nl/verkooppunten/bouwmaterialen.html
34,flexbouwmateriaal.nl,https://www.flexbouwmateriaal.nl/
35,crijnsbouwmaterialen.nl,https://www.crijnsbouwmaterialen.nl/nl/bouwmaterialen-kopen
36,3mnederland.nl,https://www.3mnederland.nl/3M/nl_NL/p/c/bouwmaterialen/
37,breukers.nl,https://www.breukers.nl/bouwmaterialen
38,bouwmaterialenzeeland.nl,https://www.bouwmaterialenzeeland.nl/
39,ggoedkoop.nl,https://www.ggoedkoop.nl/
40,eco-bouwmaterialen.nl,https://www.eco-bouwmaterialen.nl/
41,witzand.nl,https://www.witzand.nl/
42,groenebouwmaterialen.nl,https://www.groenebouwmaterialen.nl/
43,hormes.nl,https://www.hormes.nl/bouwmaterialen/
44,vidaxl.nl,https://www.vidaxl.nl/g/115/bouwmaterialen
45,marktplaats.nl,https://www.marktplaats.nl/u/2e-hands-bouwmaterialen/20098676/
46,bouwbink.nl,https://www.bouwbink.nl/bouwmaterialen
47,veldhovense.nl,https://www.veldhovense.nl/
48,boer-staphorst.nl,https://www.boer-staphorst.nl/klussen-bouwen/bouwmaterialen
49,houthandelvangelder.nl,https://www.houthandelvangelder.nl/bouwmaterialen/
