,0,1,2,3
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen,"3,6,7,15",6
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,"3,6,7,15",6
2,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/,"3,6,7,15",6
3,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html,"3,6,7,15",
4,bouwonline.com,https://www.bouwonline.com/,"3,6,7,15",
0,bol.com,https://www.bol.com/nl/l/planken/N/29100/,"5,6,7,20","5,6,7"
1,praxis.nl,https://www.praxis.nl/bouwmaterialen/hout/b322/,"5,6,7,20",
2,karwei.nl,https://www.karwei.nl/assortiment/l/hout/tuinhout/tuinplanken/type-plank,"5,6,7,20",5
3,houtvakman.nl,https://www.houtvakman.nl/houten-planken/,"5,6,7,20",5
4,gamma.nl,https://www.gamma.nl/assortiment/l/hout/balken-latten-planken,"5,6,7,20",6
