Number,Dn,Ur,Keyword,Kd,keyword_density_percentage,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,PageAScore,DomainAScore,AScore,Total Images,Image Tags,Content-length,META-Title,META-Description,Creation Date,FCP,LCP,FID,CLS,URL,original_publication,last_modified,days_between
0.0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen,bouwmaterialen,84.13,0.46,4.0,31.0,1430.0,10.0,43.0,77.0,6884.0,76.0,38.0,50.0,23.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Bouwmaat.nl', 'None', 'ideal-logo', 'visa', 'v-pay', 'mastercard', 'Paypal-Logo']",753,"Bouwmaterialen kopen: Online of in de vestiging - Bouwmaat
",Bouwmaterialen kopen ✓ Online of in de vestiging ✓ Beste kwaliteit ✓ MEER=MINDER inkoopvoordeel ✓ Bezorgen op de klus ✓ Groot aanbod.,None,1188,2456,5,80,https://www.bouwmaat.nl/bouwmaterialen,2021-05-20,2021-05-20,0
1.0,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,bouwmaterialen,84.13,0.73,10.0,17.0,216.0,7.0,42.0,79.0,633.0,79.0,78.0,58.0,21.0,"['Hornbach logo', 'Assortiment Binnenafbouw', 'Assortiment Isolatie', 'Assortiment Dakbedekking', 'Assortiment Ruwbouw', 'Assortiment Impregneren en repareren', 'Assortiment Gevelbekleding', '{{article.imageAlt}}', 'rating', 'None', 'Laagste prijsgarantie | HORNBACH ', 'Garantie bedenktijd ', 'Beste Bouwmarkt en Beste Webshop bouwmarkten! 2020 2021 ', 'Keurmerk thuiswinkel ', 'Keurmerk trustedshops ', 'apps appstore ', 'app playstore ', 'facebook ', 'instagram ', 'youtube ', 'twitter ']",337,Bouwmaterialen kopen? .HORNBACH. Laagste prijs,Bekijk ons assortiment Bouwmateriaal  in onze Onlineshop . Eenvoudig online bestellen . Thuisbezorgd . Laagste prijsgarantie . 30 dagen Bedenktijd. Alle Bouwmateriaal  online!,None,447,522,4,65,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,2020-01-01,2020-01-01,0
2.0,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/,bouwmaterialen,84.13,1.19,3.0,31.0,138.0,10.0,2.0,2.0,36.0,69.0,44.0,24.0,52.0,"['Online Bouwmaterialen, bestel bouwmaterialen online, beste kwaliteit bouwmaterialen, snel geleverd. Bouwmaterialen Online bestellen!', 'Hout & Plaatmateriaal kopen', 'Stenen kopen', 'Grind & Zand kopen', 'VBI Vloer kopen', 'Isolatiemateriaal kopen', 'Cement & Beton kopen', 'Bouwstaal kopen', 'Gipsplaten kopen', 'Stucadoorsmaterialen kopen', 'Tegels en lijmen kopen', 'Lateien kopen', 'Dakramen & Solatubes kopen', 'Dakmaterialen kopen', 'Kozijnen & Deuren kopen', 'Bouwfolies kopen', 'Verf, Pur, Lijm & Kit kopen', 'Bevestiging kopen', 'Gereedschap & Installatie kopen', 'Gevel kopen', 'Tuin kopen', 'Afvalcontainers kopen', 'Kleding & PBM kopen', 'Hectar vloer kopen', 'Brandwerende materialen kopen', 'Hout & Plaatmateriaal kopen', 'Stenen kopen', 'Grind & Zand kopen', 'VBI Vloer kopen', 'Isolatiemateriaal kopen', 'Cement & Beton kopen', 'Bouwstaal kopen', 'Gipsplaten kopen', 'Stucadoorsmaterialen kopen', 'Tegels en lijmen kopen', 'Lateien kopen', 'Dakramen & Solatubes kopen', 'Dakmaterialen kopen', 'Kozijnen & Deuren kopen', 'Bouwfolies kopen', 'Verf, Pur, Lijm & Kit kopen', 'Bevestiging kopen', 'Gereedschap & Installatie kopen', 'Gevel kopen', 'Tuin kopen', 'Afvalcontainers kopen', 'Kleding & PBM kopen', 'Hectar vloer kopen', 'Brandwerende materialen kopen', 'Bekijk de reviews van Online Bouwmaterialen', 'Online Bouwmaterialen heeft het WebwinkelKeur Keurmerk', 'Veilig betalen bij Online Bouwmaterialen']",1782,Bouwmaterialen Online kopen? | Online Bouwmaterialen,Bij Online Bouwmaterialen koopt u de beste kwaliteit bouwmaterialen ✅ Scherp geprijsd ✅ Snel geleverd ✅ Professioneel advies ✅ Ruim assortiment ✅,None,884,1553,3,1,https://www.online-bouwmaterialen.nl/,2011-01-01,2011-01-01,0
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,490,650,2,0,,NaN,NaN,NaN
